,,0
1,105,0.07943692372502117
6,119,0.07946379464813698
6,111,0.07947997349173358
4,106,0.07958511765606333
8,166,0.07997562289059823
3,116,0.08001051321957263
11,197,0.08057527218285988
4,128,0.08085296182878239
8,151,0.08122403075491906
6,167,0.08142862472518711
4,143,0.08171762570125787
5,166,0.08183184981406198
5,145,0.08190926270500536
3,136,0.08195200723507834
4,191,0.08208458212267966
4,130,0.08218542227401582
8,188,0.08238039000057872
4,178,0.08310145421854576
5,150,0.08310976887853117
5,161,0.08312312567445028
3,144,0.0834914045146753
5,185,0.08353457087128437
5,195,0.08358009449765533
5,155,0.08367273210909514
3,180,0.08423886059548864
3,193,0.08451550370047332
2,112,0.08461721245219887
4,181,0.08464140497848166
4,149,0.08505732036609379
1,174,0.0851990122552869
6,160,0.085225283909907
6,132,0.0852614332717757
4,139,0.08569133058818815
8,149,0.08578095242540804
8,164,0.08592530793001416
11,172,0.0861935126768016
1,111,0.08632552366223621
3,109,0.0866153714948081
8,133,0.08663403979651188
4,174,0.08678307807157107
6,131,0.0868974677483041
3,118,0.08714481614322407
5,141,0.08727175439830837
4,107,0.08809036469571727
6,128,0.08834840920584097
3,154,0.08834974475458605
4,144,0.08847869377230082
8,176,0.0887067435114186
6,105,0.08899050575727649
5,167,0.08899953108446491
1,151,0.08960554509245858
11,133,0.09004645971193392
11,162,0.09030499770362764
3,164,0.0903499253921796
11,107,0.09068481118282988
8,127,0.09080501762114238
1,121,0.09082175823350021
3,182,0.09085818871747685
3,145,0.09092352182976833
11,170,0.09123697522619917
5,128,0.09132958840509035
5,112,0.09196175295522442
1,141,0.09199108856818004
4,173,0.09205483832512891
11,141,0.09213275442347024
3,146,0.09233471426614019
3,176,0.09243195486378858
4,164,0.09260539421786465
11,138,0.09295072935687049
5,158,0.09298947222373496
4,160,0.09360195663510629
3,115,0.09420327125457341
1,158,0.09452172043393879
1,197,0.0946028892257855
4,169,0.09460645264460303
3,149,0.09466972501449625
1,195,0.09503558781710657
5,102,0.09539373989381378
8,169,0.09557900845333048
11,106,0.09559876749840127
4,186,0.09565573839033603
4,134,0.0962052225416178
4,168,0.0965862209409101
1,119,0.0966109172474488
3,183,0.09706403819852695
0,113,0.09715589768406908
1,153,0.09727273032590261
4,176,0.09733341241190295
8,108,0.09734721640761512
8,181,0.09737385498169575
5,169,0.09738678933783727
5,165,0.09762762931510388
3,190,0.09776011096458578
3,125,0.09789039986244862
11,177,0.0980122064737446
5,160,0.09830992879048667
6,106,0.09856623735019282
8,156,0.09963309293277972
6,150,0.0997774927612215
6,141,0.09991679096175383
11,148,0.09996794326620734
8,102,0.10022454304921374
3,187,0.10034184645964052
6,109,0.10043988233612967
4,195,0.10062635749135325
4,146,0.10062639902892676
1,147,0.10084305806880105
4,182,0.10095766317459974
3,188,0.10102032056392776
1,161,0.10215876437832508
5,136,0.10273403980305565
8,147,0.10289046758557929
8,150,0.10314702550089765
5,188,0.1036514370540573
4,188,0.10405131891985672
1,144,0.10414546041004898
8,178,0.10428986928753767
8,146,0.10448204567458853
4,145,0.10449604212044586
8,120,0.10456813728785533
5,193,0.10471369753453495
8,193,0.10485268752271647
4,193,0.10499417813213631
6,138,0.10503868666170953
11,150,0.10526207518703777
1,126,0.10540923082863159
2,115,0.1054611401676856
8,157,0.10547299318423146
6,114,0.10568786312493743
6,113,0.1057464663807982
6,197,0.1058940437962449
8,145,0.10622795448482084
5,194,0.10643720951226995
8,144,0.10662018400176669
2,110,0.10667351579787357
5,110,0.10712522818744838
4,167,0.1072475090346168
11,114,0.10773089885638606
3,191,0.10773600805632687
0,125,0.10780929307660178
4,155,0.10789991403386881
6,165,0.10794593377080859
0,112,0.1085585708061699
11,167,0.10877534349713328
8,135,0.10878200454201079
11,160,0.10880235831437092
4,185,0.10881488181027595
1,186,0.10904997003810908
4,194,0.10910489740316837
8,159,0.10983690078039135
11,151,0.1101613598736096
1,133,0.11031851576737856
8,141,0.11043675841405433
4,154,0.1105201481452689
4,132,0.11057771698708187
1,177,0.1112795529026967
8,182,0.1113939428867784
8,134,0.1117595277317257
6,104,0.11190482015343645
6,172,0.11193943233218946
3,102,0.11213724437035302
4,161,0.11224921821852117
5,115,0.11250159163538662
3,196,0.11254001753171217
1,136,0.11276296347482244
3,143,0.11283773110252121
1,127,0.11319286616801216
1,192,0.11400949820088396
5,177,0.11420945753598077
1,194,0.11421726692258617
4,136,0.11436602140712522
8,154,0.11545273391925541
0,177,0.11553458416675784
5,107,0.11581884651572273
2,114,0.11586417585261359
1,185,0.11591512133146882
