,fpr,tpr
0,0.0,0.0
1,0.00010515247108307045,0.0
2,0.0004206098843322818,0.0
3,0.0004206098843322818,0.0020408163265306124
4,0.0015772870662460567,0.0020408163265306124
5,0.0015772870662460567,0.004081632653061225
6,0.0017875920084121978,0.004081632653061225
7,0.0017875920084121978,0.006122448979591836
8,0.0019978969505783386,0.006122448979591836
9,0.0019978969505783386,0.01020408163265306
10,0.00231335436382755,0.01020408163265306
11,0.00231335436382755,0.012244897959183673
12,0.0026288117770767614,0.012244897959183673
13,0.0026288117770767614,0.0163265306122449
14,0.0029442691903259727,0.0163265306122449
15,0.0029442691903259727,0.02040816326530612
16,0.003049421661409043,0.02040816326530612
17,0.003049421661409043,0.022448979591836733
18,0.0037854889589905363,0.022448979591836733
19,0.0037854889589905363,0.024489795918367346
20,0.003995793901156677,0.024489795918367346
21,0.003995793901156677,0.026530612244897958
22,0.00473186119873817,0.026530612244897958
23,0.00473186119873817,0.02857142857142857
24,0.00483701366982124,0.02857142857142857
25,0.00483701366982124,0.030612244897959183
26,0.005467928496319664,0.030612244897959183
27,0.005467928496319664,0.0326530612244898
28,0.0056782334384858045,0.0326530612244898
29,0.0056782334384858045,0.03469387755102041
30,0.0057833859095688745,0.03469387755102041
31,0.0057833859095688745,0.03877551020408163
32,0.006203995793901157,0.03877551020408163
33,0.006203995793901157,0.04081632653061224
34,0.006519453207150368,0.04081632653061224
35,0.006519453207150368,0.044897959183673466
36,0.00704521556256572,0.044897959183673466
37,0.00704521556256572,0.04693877551020408
38,0.007150368033648791,0.04693877551020408
39,0.007150368033648791,0.04897959183673469
40,0.008622502628811778,0.04897959183673469
41,0.008622502628811778,0.05510204081632653
42,0.0092534174553102,0.05510204081632653
43,0.0092534174553102,0.05714285714285714
44,0.010199789695057833,0.05714285714285714
45,0.010199789695057833,0.05918367346938776
46,0.012407991587802314,0.05918367346938776
47,0.012407991587802314,0.061224489795918366
48,0.01409043112513144,0.061224489795918366
49,0.01409043112513144,0.06326530612244897
50,0.014511041009463722,0.06326530612244897
51,0.014511041009463722,0.0673469387755102
52,0.014616193480546793,0.0673469387755102
53,0.014616193480546793,0.06938775510204082
54,0.015562565720294427,0.06938775510204082
55,0.015562565720294427,0.07142857142857142
56,0.01587802313354364,0.07142857142857142
57,0.01587802313354364,0.07551020408163266
58,0.016403785488958992,0.07551020408163266
59,0.016403785488958992,0.07755102040816327
60,0.01661409043112513,0.07755102040816327
61,0.01661409043112513,0.07959183673469387
62,0.016824395373291272,0.07959183673469387
63,0.016824395373291272,0.0836734693877551
64,0.017350157728706624,0.0836734693877551
65,0.017350157728706624,0.08571428571428572
66,0.017770767613038908,0.08571428571428572
67,0.017770767613038908,0.08979591836734693
68,0.018822292323869613,0.08979591836734693
69,0.018822292323869613,0.09183673469387756
70,0.019453207150368034,0.09183673469387756
71,0.019453207150368034,0.09387755102040816
72,0.019978969505783387,0.09387755102040816
73,0.019978969505783387,0.09591836734693877
74,0.02050473186119874,0.09591836734693877
75,0.02050473186119874,0.09795918367346938
76,0.02092534174553102,0.09795918367346938
77,0.02092534174553102,0.1
78,0.02145110410094637,0.1
79,0.02145110410094637,0.10408163265306122
80,0.022187171398527866,0.10408163265306122
81,0.022187171398527866,0.10612244897959183
82,0.02302839116719243,0.10612244897959183
83,0.02302839116719243,0.10816326530612246
84,0.023133543638275498,0.10816326530612246
85,0.023133543638275498,0.11020408163265306
86,0.02355415352260778,0.11020408163265306
87,0.02355415352260778,0.11224489795918367
88,0.026393270241850682,0.11224489795918367
89,0.026393270241850682,0.11428571428571428
90,0.02849631966351209,0.11428571428571428
