,MR,FI,N_EST,MAX_FEATURES,BOOTSTRAPPING,AUPRC,AUROC,MEAN_AUROC,STD_AUROC,MEAN_AUPRC,STD_AUPRC,pvalue,BOOSTING,Index
12,5,VR,1000,100,True,0.1232568862017172,0.6744035279727032,0.6800517603314165,0.1248626680742339,0.2161826254176347,0.1417481235933278,3.5734213046666435e-39,No,Bootstrapping
13,5,SHAP,1000,100,True,0.123391114072134,0.6821554110603233,0.6894328291084445,0.1235872064996711,0.2150593739076563,0.1409445191957623,1.508404428219776e-42,No,Bootstrapping
16,5,VR,2000,sqrt,True,0.1317618497686668,0.6809903646000987,0.6849359134317691,0.1251416568815045,0.2184852983530066,0.1400471428059935,4.953992543004432e-42,No,"Feature Bagging 
& Bootstrapping"
17,5,SHAP,2000,sqrt,True,0.1325929355056213,0.6942453700723192,0.7002373620624758,0.1206343919682799,0.217875186589478,0.1354359832085553,4.224103979907978e-48,No,"Feature Bagging 
& Bootstrapping"
18,5,VR,2000,sqrt,False,0.1289495727910539,0.6830393356080603,0.6889225545111651,0.1219521150460013,0.2137788902062921,0.1363755509634492,6.088460195943272e-43,No,Feature Bagging
19,5,SHAP,2000,sqrt,False,0.1298545568264001,0.6950831562909074,0.7016960855454458,0.1195489565545375,0.2158344018758771,0.1345607343918972,1.689903035614126e-48,No,Feature Bagging
20,5,VR,2000,100,True,0.1235230795245621,0.6749902358419707,0.6816259281428174,0.1219899193154092,0.2165619678854666,0.141825694760245,2.007951572277467e-39,No,Bootstrapping
21,5,SHAP,2000,100,True,0.1233388951018026,0.6814650528981309,0.688971747180522,0.1227975822585733,0.2157605619666134,0.1418680039294214,3.054450117669134e-42,No,Bootstrapping
24,40,VR,500,sqrt,True,0.4195899177426977,0.8170550666316778,0.8295235805429871,0.1063175085761666,0.493684496798903,0.1638210261436914,1.4438213101918174e-128,No,"Feature Bagging 
& Bootstrapping"
25,40,SHAP,500,sqrt,True,0.408760464767519,0.8274894134596424,0.8396717995944837,0.1053380391828931,0.4937493622316112,0.1564489525378497,5.149057394644061e-137,No,"Feature Bagging 
& Bootstrapping"
26,40,VR,500,sqrt,False,0.4238988326373161,0.8207226709767043,0.8340808528981444,0.1040466124223641,0.4980659236623834,0.1635795648816326,1.6643421213960548e-131,No,Feature Bagging
27,40,SHAP,500,sqrt,False,0.4148699003349886,0.8272837184504891,0.8393398169548054,0.1020880190580975,0.4961951597358411,0.1624717299118662,7.60142932405479e-137,No,Feature Bagging
28,40,VR,500,100,True,0.442388525896031,0.8304823797291931,0.842743217190116,0.0997303350090742,0.5081021493399507,0.1645055070740153,1.7308862149377734e-139,No,Bootstrapping
29,40,SHAP,500,100,True,0.4435312778029824,0.8373831356271859,0.8480149483582904,0.0971163545164382,0.5083282722599604,0.1649674176604813,2.817309401472032e-145,No,Bootstrapping
30,40,VR,1000,sqrt,True,0.4250442807685062,0.8220351713532923,0.8350462340955056,0.1030925614304228,0.50364418612595,0.1593345167989795,1.450643781885334e-132,No,"Feature Bagging 
& Bootstrapping"
31,40,SHAP,1000,sqrt,True,0.4173024284318386,0.8326122580512454,0.8440403526615212,0.1020000214403831,0.5002600343240924,0.1545713795652533,2.913565690382463e-141,No,"Feature Bagging 
& Bootstrapping"
32,40,VR,1000,sqrt,False,0.4265936667363572,0.8230409991707789,0.8368349460273032,0.1016133401396817,0.5021988427511253,0.1652876126859894,2.2210575572927923e-133,No,Feature Bagging
33,40,SHAP,1000,sqrt,False,0.4181121718409782,0.830623665190026,0.8422490907604323,0.1004604627691829,0.4976131922530177,0.1630414161667318,1.3211507895572992e-139,No,Feature Bagging
34,40,VR,1000,100,True,0.4440482440131298,0.8343554713106367,0.8461525298796112,0.0976693422719148,0.5079724678690231,0.164009456714329,1.0096177336561604e-142,No,Bootstrapping
35,40,SHAP,1000,100,True,0.4456954990327491,0.8412599671178866,0.8508114678593006,0.0972140383830684,0.5132466664516515,0.1657728966990518,1.3982550119396767e-148,No,Bootstrapping
38,40,VR,2000,sqrt,True,0.4269956166179272,0.8253404200458306,0.8377887022478909,0.1023917255148429,0.5062272724297077,0.1559273743022226,2.977643424379571e-135,No,"Feature Bagging 
& Bootstrapping"
39,40,SHAP,2000,sqrt,True,0.4188500803262572,0.8337444116925354,0.8452450567437533,0.1016568931000621,0.5025823305397181,0.1540347474697103,3.2877602678962364e-142,No,"Feature Bagging 
& Bootstrapping"
40,40,VR,2000,sqrt,False,0.4271923702306666,0.8244422185058605,0.8377385717042063,0.0997073330422654,0.5035006646217525,0.1659432575986032,1.6104931036952736e-134,No,Feature Bagging
41,40,SHAP,2000,sqrt,False,0.4190941746878363,0.8314111238614313,0.8425519361704256,0.1005359217440492,0.4984293053179633,0.1644599275385701,2.925309351563724e-140,No,Feature Bagging
42,40,VR,2000,100,True,0.4454351099919345,0.83569331996108,0.8480648125712922,0.0972417821860416,0.5095586311556982,0.1642032978479543,7.556085304002427e-144,No,Bootstrapping
43,40,SHAP,2000,100,True,0.4467496349092028,0.842117860746972,0.8514770370010946,0.0984760488141871,0.5148449571530179,0.165315690659562,2.56632735358038e-149,No,Bootstrapping
46,100,VR,500,sqrt,True,0.6543951031964743,0.8899044666209495,0.8989866784064244,0.085399704022861,0.7054801168403266,0.1484974422602294,4.255422044187571e-186,No,"Feature Bagging 
& Bootstrapping"
47,100,SHAP,500,sqrt,True,0.6609663874338861,0.8997308557121985,0.90855092836227,0.0793886915933812,0.7076769428723122,0.1513829297900944,1.786697215996569e-195,No,"Feature Bagging 
& Bootstrapping"
48,100,VR,500,sqrt,False,0.6525147060852984,0.896583751921881,0.9064497864779614,0.0819452265598808,0.6978571077865932,0.1498077908986768,1.9078243741877263e-192,No,Feature Bagging
49,100,SHAP,500,sqrt,False,0.6574787723786178,0.9037588463727686,0.9124055907948644,0.0769484011241838,0.7039849245352235,0.1489950122964045,2.1929590729355415e-199,No,Feature Bagging
50,100,VR,500,100,True,0.6867176913232095,0.9027555721328924,0.9108820959926204,0.082682456245087,0.7265953159111138,0.1446928988095266,2.0836719108079546e-198,No,Bootstrapping
51,100,SHAP,500,100,True,0.7021329979377272,0.9110874106998508,0.918485470463901,0.0790685808524477,0.7379927619724307,0.1462207487554405,1.3333063814674814e-206,No,Bootstrapping
54,100,VR,1000,sqrt,True,0.6565763929534749,0.8916502674066892,0.9006260988857014,0.0861182943669716,0.7073703425783056,0.1469713238141143,9.55015612099657e-188,No,"Feature Bagging 
& Bootstrapping"
55,100,SHAP,1000,sqrt,True,0.6631196327513553,0.9016922913872748,0.9099240885168604,0.0772466154718508,0.7042977540412312,0.1459570683288647,2.2514458553280315e-197,No,"Feature Bagging 
& Bootstrapping"
56,100,VR,1000,sqrt,False,0.6534413046383662,0.895859788539664,0.9052523902006518,0.0847386725944552,0.695446008095679,0.1435662068120678,9.41534166716734e-192,No,Feature Bagging
57,100,SHAP,1000,sqrt,False,0.6572966875056672,0.9021829201194692,0.9111681627211125,0.0786124565565926,0.7021561023470875,0.1472983964478496,7.513672475550781e-198,No,Feature Bagging
58,100,VR,1000,100,True,0.6873604185563484,0.9033141938482104,0.9116078135898656,0.0828435141318503,0.7298205010003916,0.1451965893952685,5.952395884730664e-199,No,Bootstrapping
59,100,SHAP,1000,100,True,0.701075649511309,0.9111230260719632,0.9181738498176618,0.0778726965751719,0.739704542440071,0.144803424298849,1.2289801933723555e-206,No,Bootstrapping
62,100,VR,2000,sqrt,True,0.6588067558307578,0.8949005478507635,0.9044483674331982,0.0841889848126849,0.7087772219381516,0.1469421479900264,7.77138550751759e-191,No,"Feature Bagging 
& Bootstrapping"
63,100,SHAP,2000,sqrt,True,0.6650107017748,0.9032934721771632,0.9107435775392888,0.0789460153707502,0.7116901016168116,0.1460679477907728,6.235763533845809e-199,No,"Feature Bagging 
& Bootstrapping"
64,100,VR,2000,sqrt,False,0.653535877040594,0.895718406304914,0.905089320306412,0.0832438385264663,0.6936113583520165,0.1450158476225587,1.2855297408740502e-191,No,Feature Bagging
65,100,SHAP,2000,sqrt,False,0.6580889085630384,0.9016946657454156,0.9112387779833622,0.0783991405539986,0.7011889823503503,0.147238315907447,2.23952746548637e-197,No,Feature Bagging
