MR,FI,N_EST,MAX_FEATURES,BOOTSTRAPPING,AUPRC,AUROC,MEAN_AUROC,STD_AUROC,MEAN_AUPRC,STD_AUPRC,p-value,BOOSTING
5,VR,500,100,False,0.112290579842703,0.6321356681473852,0.6390042063242168,0.1376731890535183,0.200560420574777,0.1518979691616932,2.529942266144492e-23,GradientBoostingsquared_error
5,SHAP,500,100,False,0.1225311894012456,0.650126826755939,0.659250505140439,0.136240188366156,0.2142373284354813,0.1498359193564371,1.523881458563426e-29,GradientBoostingsquared_error
5,VR,500,sqrt,False,0.0890006572220267,0.6415549689907508,0.6518850591351898,0.1339958905811848,0.1703085724726651,0.1129209022514077,1.7527929664127763e-26,GradientBoostingsquared_error
5,SHAP,500,sqrt,False,0.1074174086278915,0.6682188458979806,0.6773404913355976,0.1301642583882971,0.1981741263302794,0.1180626603340444,1.3846956839604614e-36,GradientBoostingsquared_error
5,VR,1000,100,False,0.112290579842703,0.6321356681473852,0.6390042063242168,0.1376731890535183,0.200560420574777,0.1518979691616932,2.529942266144492e-23,GradientBoostingsquared_error
5,SHAP,1000,100,False,0.1225311894012456,0.650126826755939,0.659250505140439,0.136240188366156,0.2142373284354813,0.1498359193564371,1.523881458563426e-29,GradientBoostingsquared_error
5,VR,1000,sqrt,False,0.0890006572220267,0.6415549689907508,0.6518850591351898,0.1339958905811848,0.1703085724726651,0.1129209022514077,1.7527929664127763e-26,GradientBoostingsquared_error
5,SHAP,1000,sqrt,False,0.1074174086278915,0.6682188458979806,0.6773404913355976,0.1301642583882971,0.1981741263302794,0.1180626603340444,1.3846956839604614e-36,GradientBoostingsquared_error
5,VR,2000,100,False,0.112290579842703,0.6321356681473852,0.6390042063242168,0.1376731890535183,0.200560420574777,0.1518979691616932,2.529942266144492e-23,GradientBoostingsquared_error
5,SHAP,2000,100,False,0.1225311894012456,0.650126826755939,0.659250505140439,0.136240188366156,0.2142373284354813,0.1498359193564371,1.523881458563426e-29,GradientBoostingsquared_error
5,VR,2000,sqrt,False,0.0890006572220267,0.6415549689907508,0.6518850591351898,0.1339958905811848,0.1703085724726651,0.1129209022514077,1.7527929664127763e-26,GradientBoostingsquared_error
5,SHAP,2000,sqrt,False,0.1074174086278915,0.6682188458979806,0.6773404913355976,0.1301642583882971,0.1981741263302794,0.1180626603340444,1.3846956839604614e-36,GradientBoostingsquared_error
40,VR,500,100,False,0.420347608984233,0.7947627141851226,0.8031359176924221,0.1176691182224607,0.4808146100241014,0.183383499562385,1.9698105752553952e-111,GradientBoostingsquared_error
40,SHAP,500,100,False,0.4516236157123021,0.8080940362783664,0.8169422163171662,0.1175061337255035,0.5148340490947423,0.1836247304858076,1.5736269581452717e-121,GradientBoostingsquared_error
40,VR,500,sqrt,False,0.3067872009935258,0.7747695748408824,0.7845983498592448,0.1284137453987384,0.4144928534747815,0.2017092108114539,4.017609326171057e-97,GradientBoostingsquared_error
40,SHAP,500,sqrt,False,0.367661777345821,0.8048714811349628,0.8137521350786845,0.1194547917226109,0.4640103654210357,0.1888696725612245,4.770141589116037e-119,GradientBoostingsquared_error
40,VR,1000,100,False,0.420347608984233,0.7947627141851226,0.8031359176924221,0.1176691182224607,0.4808146100241014,0.183383499562385,1.9698105752553952e-111,GradientBoostingsquared_error
40,SHAP,1000,100,False,0.4516236157123021,0.8080940362783664,0.8169422163171662,0.1175061337255035,0.5148340490947423,0.1836247304858076,1.5736269581452717e-121,GradientBoostingsquared_error
40,VR,1000,sqrt,False,0.3067872009935258,0.7747695748408824,0.7845983498592448,0.1284137453987384,0.4144928534747815,0.2017092108114539,4.017609326171057e-97,GradientBoostingsquared_error
40,SHAP,1000,sqrt,False,0.367661777345821,0.8048714811349628,0.8137521350786845,0.1194547917226109,0.4640103654210357,0.1888696725612245,4.770141589116037e-119,GradientBoostingsquared_error
40,VR,2000,100,False,0.420347608984233,0.7947627141851226,0.8031359176924221,0.1176691182224607,0.4808146100241014,0.183383499562385,1.9698105752553952e-111,GradientBoostingsquared_error
40,SHAP,2000,100,False,0.4516236157123021,0.8080940362783664,0.8169422163171662,0.1175061337255035,0.5148340490947423,0.1836247304858076,1.5736269581452717e-121,GradientBoostingsquared_error
40,VR,2000,sqrt,False,0.3067872009935258,0.7747695748408824,0.7845983498592448,0.1284137453987384,0.4144928534747815,0.2017092108114539,4.017609326171057e-97,GradientBoostingsquared_error
40,SHAP,2000,sqrt,False,0.367661777345821,0.8048714811349628,0.8137521350786845,0.1194547917226109,0.4640103654210357,0.1888696725612245,4.770141589116037e-119,GradientBoostingsquared_error
100,VR,500,100,False,0.6826251649591307,0.8982889727684865,0.908131211831348,0.0852382903530027,0.7181132826528541,0.160162914923684,4.39089415031322e-194,GradientBoostingsquared_error
100,SHAP,500,100,False,0.7287460999973384,0.9109410638980788,0.9204235916058996,0.0819286678310663,0.7668015741629461,0.1543765747592125,1.863366714932052e-206,GradientBoostingsquared_error
100,VR,500,sqrt,False,0.6060872356718008,0.880783477748271,0.8897709300924334,0.0845656102241431,0.6547855586437743,0.1599904665089683,1.3314945241567403e-177,GradientBoostingsquared_error
100,SHAP,500,sqrt,False,0.6677045940409663,0.9062871060912864,0.9144337943490288,0.0772152679756564,0.7142265647707771,0.1587537578003621,7.348577094921829e-202,GradientBoostingsquared_error
100,VR,1000,100,False,0.6826251649591307,0.8982889727684865,0.908131211831348,0.0852382903530027,0.7181132826528541,0.160162914923684,4.39089415031322e-194,GradientBoostingsquared_error
