,precision,recall
0,0.0507,1.0
1,0.050705070507050705,1.0
2,0.05071014202840568,1.0
3,0.05071521456436931,1.0
4,0.0507202881152461,1.0
5,0.05072536268134067,1.0
6,0.050730438262957776,1.0
7,0.05073551486040228,1.0
8,0.05074059247397918,1.0
9,0.0507456711039936,1.0
10,0.05075075075075075,1.0
11,0.05075583141455601,1.0
12,0.05076091309571486,1.0
13,0.05076599579453289,1.0
14,0.05077107951131584,1.0
15,0.050776164246369555,1.0
16,0.05078125,1.0
17,0.05078633677251327,1.0
18,0.050791424564215586,1.0
19,0.050796513375413285,1.0
20,0.050801603206412825,1.0
21,0.05080669405752079,1.0
22,0.050811785929043896,1.0
23,0.05081687882128896,1.0
24,0.05082197273456295,1.0
25,0.05082706766917293,1.0
26,0.050832163625426106,1.0
27,0.0508372606036298,1.0
28,0.050842358604091455,1.0
29,0.05084745762711865,1.0
30,0.05085255767301906,1.0
31,0.05085765874210051,1.0
32,0.05086276083467095,1.0
33,0.05086786395103843,1.0
34,0.050872968091511137,1.0
35,0.05087807325639739,1.0
36,0.05088317944600562,1.0
37,0.05078791528656027,0.9980276134122288
38,0.050793013451114234,0.9980276134122288
39,0.05079811263929324,0.9980276134122288
40,0.05080321285140562,0.9980276134122288
41,0.050808314087759814,0.9980276134122288
42,0.05081341634866439,0.9980276134122288
43,0.05081851963442804,0.9980276134122288
44,0.050723182000803536,0.9960552268244576
45,0.050728277247614265,0.9960552268244576
46,0.05073337351818365,0.9960552268244576
47,0.050738470812820256,0.9960552268244576
48,0.0507435691318328,0.9960552268244576
49,0.0507486684755301,0.9960552268244576
50,0.05075376884422111,0.9960552268244576
51,0.0507588702382149,0.9960552268244576
52,0.05076397265782067,0.9960552268244576
53,0.05076907610334774,0.9960552268244576
54,0.05077418057510557,0.9960552268244576
55,0.05077928607340372,0.9960552268244576
56,0.05078439259855189,0.9960552268244576
57,0.0507895001508599,0.9960552268244576
58,0.0507946087306377,0.9960552268244576
59,0.05069912483653556,0.9940828402366864
60,0.05070422535211268,0.9940828402366864
61,0.050709326894053726,0.9940828402366864
62,0.05071442946266855,0.9940828402366864
63,0.05071953305826708,0.9940828402366864
64,0.050724637681159424,0.9940828402366864
65,0.05072974333165576,0.9940828402366864
66,0.05073485001006644,0.9940828402366864
67,0.05063928319742273,0.9921104536489151
68,0.050644381796214256,0.9921104536489151
69,0.05064948142181049,0.9921104536489151
70,0.05065458207452165,0.9921104536489151
71,0.05065968375465807,0.9921104536489151
72,0.05066478646253022,0.9921104536489151
73,0.050669890198448676,0.9921104536489151
74,0.05067499496272416,0.9921104536489151
75,0.050680100755667506,0.9921104536489151
76,0.05068520757758968,0.9921104536489151
77,0.05069031542880177,0.9921104536489151
78,0.050695424309614996,0.9921104536489151
79,0.05070053422034069,0.9921104536489151
80,0.05070564516129032,0.9921104536489151
81,0.05071075713277548,0.9921104536489151
82,0.050715870135107886,0.9921104536489151
83,0.050720984168599374,0.9921104536489151
84,0.05072609923356192,0.9921104536489151
85,0.05073121533030762,0.9921104536489151
86,0.05073633245914868,0.9921104536489151
87,0.050741450620397456,0.9921104536489151
88,0.05074656981436643,0.9921104536489151
89,0.050751690041368175,0.9921104536489151
90,0.050756811301715436,0.9921104536489151
91,0.050761933595721065,0.9921104536489151
92,0.05076705692369802,0.9921104536489151
93,0.05077218128595942,0.9921104536489151
94,0.05077730668281849,0.9921104536489151
95,0.05078243311458859,0.9921104536489151
96,0.0507875605815832,0.9921104536489151
97,0.050792689084115925,0.9921104536489151
98,0.050797818622500504,0.9921104536489151
99,0.050802949197050806,0.9921104536489151
100,0.05080808080808081,0.9921104536489151
101,0.050813213455904636,0.9921104536489151
102,0.05081834714083653,0.9921104536489151
103,0.05082348186319086,0.9921104536489151
104,0.050828617623282134,0.9921104536489151
105,0.05083375442142496,0.9921104536489151
106,0.0508388922579341,0.9921104536489151
107,0.05084403113312443,0.9921104536489151
108,0.05084917104731096,0.9921104536489151
109,0.05085431200080882,0.9921104536489151
110,0.05085945399393327,0.9921104536489151
111,0.0508645970269997,0.9921104536489151
112,0.05086974110032363,0.9921104536489151
113,0.05087488621422069,0.9921104536489151
114,0.05088003236900668,0.9921104536489151
115,0.05088517956499747,0.9921104536489151
116,0.05089032780250911,0.9921104536489151
117,0.05089547708185774,0.9921104536489151
118,0.05090062740335964,0.9921104536489151
119,0.05090577876733124,0.9921104536489151
120,0.05091093117408907,0.9921104536489151
121,0.050916084623949795,0.9921104536489151
122,0.05092123911723021,0.9921104536489151
123,0.05092639465424724,0.9921104536489151
124,0.050931551235317944,0.9921104536489151
125,0.050936708860759496,0.9921104536489151
126,0.0509418675308892,0.9921104536489151
127,0.05094702724602451,0.9921104536489151
128,0.05095218800648298,0.9921104536489151
129,0.05095734981258231,0.9921104536489151
130,0.05096251266464032,0.9921104536489151
131,0.05096767656297497,0.9921104536489151
132,0.050972841507904335,0.9921104536489151
133,0.05097800749974663,0.9921104536489151
134,0.05098317453882019,0.9921104536489151
135,0.05098834262544349,0.9921104536489151
136,0.05099351175993512,0.9921104536489151
137,0.05099868194261381,0.9921104536489151
138,0.051003853173798415,0.9921104536489151
139,0.05100902545380793,0.9921104536489151
140,0.05101419878296146,0.9921104536489151
141,0.05101937316157825,0.9921104536489151
142,0.05092310813552445,0.9901380670611439
143,0.05092827432281627,0.9901380670611439
144,0.05093344155844156,0.9901380670611439
145,0.05093860984271943,0.9901380670611439
146,0.05094377917596915,0.9901380670611439
147,0.0509489495585101,0.9901380670611439
148,0.050954120990661794,0.9901380670611439
