,fpr,tpr
0,0.0,0.0
1,0.0,0.0019723865877712033
2,0.0,0.011834319526627219
3,0.00010534077741493732,0.011834319526627219
4,0.00010534077741493732,0.05917159763313609
5,0.00021068155482987464,0.05917159763313609
6,0.00021068155482987464,0.0631163708086785
7,0.0004213631096597493,0.0631163708086785
8,0.0004213631096597493,0.10453648915187377
9,0.0005267038870746866,0.10453648915187377
10,0.0005267038870746866,0.11045364891518737
11,0.0008427262193194986,0.11045364891518737
12,0.0008427262193194986,0.11242603550295859
13,0.0010534077741493732,0.11242603550295859
14,0.0010534077741493732,0.11637080867850098
15,0.0011587485515643105,0.11637080867850098
16,0.0011587485515643105,0.1222879684418146
17,0.0012640893289792478,0.1222879684418146
18,0.0012640893289792478,0.1341222879684418
19,0.0013694301063941852,0.1341222879684418
20,0.0013694301063941852,0.15779092702169625
21,0.0014747708838091225,0.15779092702169625
22,0.0014747708838091225,0.16765285996055226
23,0.0015801116612240598,0.16765285996055226
24,0.0015801116612240598,0.17357001972386588
25,0.0016854524386389971,0.17357001972386588
26,0.0016854524386389971,0.1755424063116371
27,0.0017907932160539345,0.1755424063116371
28,0.0017907932160539345,0.1794871794871795
29,0.002001474770883809,0.1794871794871795
30,0.002001474770883809,0.1854043392504931
31,0.0021068155482987464,0.1854043392504931
32,0.0021068155482987464,0.1893491124260355
33,0.0022121563257136837,0.1893491124260355
34,0.0022121563257136837,0.19723865877712032
35,0.002317497103128621,0.19723865877712032
36,0.002317497103128621,0.20118343195266272
37,0.0024228378805435584,0.20118343195266272
38,0.0024228378805435584,0.20512820512820512
39,0.0025281786579584957,0.20512820512820512
40,0.0025281786579584957,0.20907297830374755
41,0.002633519435373433,0.20907297830374755
42,0.002633519435373433,0.21301775147928995
43,0.0027388602127883703,0.21301775147928995
44,0.0027388602127883703,0.21893491124260356
45,0.0028442009902033077,0.21893491124260356
46,0.0028442009902033077,0.22090729783037474
47,0.0031602233224481196,0.22090729783037474
48,0.0031602233224481196,0.22485207100591717
49,0.003265564099863057,0.22485207100591717
50,0.003265564099863057,0.22879684418145957
51,0.0033709048772779943,0.22879684418145957
52,0.0033709048772779943,0.23471400394477318
53,0.0034762456546929316,0.23471400394477318
54,0.0034762456546929316,0.23865877712031558
55,0.003897608764352681,0.23865877712031558
56,0.003897608764352681,0.24260355029585798
57,0.004002949541767618,0.24260355029585798
58,0.004002949541767618,0.2465483234714004
59,0.004213631096597493,0.2465483234714004
60,0.004213631096597493,0.2485207100591716
61,0.004318971874012431,0.2485207100591716
62,0.004318971874012431,0.2504930966469428
63,0.0044243126514273675,0.2504930966469428
64,0.0044243126514273675,0.252465483234714
65,0.004529653428842305,0.252465483234714
66,0.004529653428842305,0.2564102564102564
67,0.004634994206257242,0.2564102564102564
68,0.004634994206257242,0.26232741617357
69,0.004845675761087117,0.26232741617357
70,0.004845675761087117,0.27218934911242604
71,0.0049510165385020545,0.27218934911242604
72,0.0049510165385020545,0.27416173570019725
73,0.005056357315916991,0.27416173570019725
74,0.005056357315916991,0.27613412228796846
75,0.005161698093331929,0.27613412228796846
76,0.005161698093331929,0.2781065088757396
77,0.005372379648161804,0.2781065088757396
78,0.005372379648161804,0.28402366863905326
79,0.005793742757821553,0.28402366863905326
80,0.005793742757821553,0.2859960552268245
81,0.006636468977141052,0.2859960552268245
82,0.006636468977141052,0.2879684418145957
83,0.007163172864215738,0.2879684418145957
84,0.007163172864215738,0.29191321499013806
85,0.0072685136416306756,0.29191321499013806
86,0.0072685136416306756,0.2938856015779093
87,0.00747919519646055,0.2938856015779093
88,0.00747919519646055,0.2958579881656805
89,0.007584535973875487,0.2958579881656805
90,0.007584535973875487,0.2978303747534517
91,0.0079005583061203,0.2978303747534517
92,0.0079005583061203,0.29980276134122286
93,0.008005899083535236,0.29980276134122286
94,0.008005899083535236,0.30177514792899407
95,0.008216580638365112,0.30177514792899407
96,0.008216580638365112,0.3037475345167653
97,0.008321921415780049,0.3037475345167653
98,0.008321921415780049,0.3057199211045365
99,0.008743284525439798,0.3057199211045365
100,0.008743284525439798,0.3076923076923077
101,0.009375329189929421,0.3076923076923077
102,0.009375329189929421,0.3096646942800789
103,0.00948066996734436,0.3096646942800789
104,0.00948066996734436,0.3116370808678501
105,0.00979669229958917,0.3116370808678501
106,0.00979669229958917,0.3136094674556213
107,0.010112714631833983,0.3136094674556213
108,0.010112714631833983,0.3175542406311637
109,0.010323396186663858,0.3175542406311637
110,0.010323396186663858,0.3234714003944773
111,0.010428736964078795,0.3234714003944773
112,0.010428736964078795,0.32938856015779094
113,0.010639418518908669,0.32938856015779094
114,0.010639418518908669,0.33136094674556216
115,0.010744759296323608,0.33136094674556216
116,0.010744759296323608,0.33727810650887574
117,0.01137680396081323,0.33727810650887574
118,0.01137680396081323,0.33925049309664695
119,0.011903507847887917,0.33925049309664695
120,0.011903507847887917,0.34516765285996054
121,0.012114189402717792,0.34516765285996054
122,0.012114189402717792,0.34714003944773175
123,0.012430211734962605,0.34714003944773175
124,0.012430211734962605,0.34911242603550297
125,0.012535552512377542,0.34911242603550297
126,0.012535552512377542,0.3510848126232742
127,0.012640893289792478,0.3510848126232742
128,0.012640893289792478,0.3530571992110454
129,0.012746234067207415,0.3530571992110454
130,0.012746234067207415,0.35502958579881655
131,0.012956915622037291,0.35502958579881655
132,0.012956915622037291,0.358974358974359
133,0.013694301063941853,0.358974358974359
134,0.013694301063941853,0.3629191321499014
135,0.014221004951016539,0.3629191321499014
136,0.014221004951016539,0.3747534516765286
137,0.014747708838091225,0.3747534516765286
