MR,FI,N_EST,MAX_FEATURES,BOOTSTRAPPING,AUPRC,AUROC,MEAN_AUROC,p-value,BOOSTING
5,VR,500,sqrt,True,0.1309923281683698,0.6814131204532287,0.685655328692637,3.22059917354809e-42,No
5,SHAP,500,sqrt,True,0.1302620231039551,0.6926045623296637,0.70041881077162,2.5122056195413154e-47,No
5,VR,500,sqrt,False,0.1270796552887866,0.6830504946458078,0.6870022637011046,6.018957180442917e-43,No
5,SHAP,500,sqrt,False,0.1284900121553243,0.6948419493980558,0.7011710461940213,2.2008335336998744e-48,No
5,VR,500,100,True,0.1226244479932134,0.6729283890212236,0.678361885605176,1.5094226074981732e-38,No
5,SHAP,500,100,True,0.1226939279731031,0.6834346230605807,0.6907512342740271,4.0522562829959766e-43,No
5,VR,500,100,False,0.0883030084803916,0.5757447584712119,0.5839481617406906,7.401787899383012e-09,No
5,SHAP,500,100,False,0.0850514751331757,0.5699287538359192,0.5821702842740816,8.524601168029923e-08,No
5,VR,1000,sqrt,True,0.1338043245606584,0.680630271035859,0.6842033029307928,7.143532595305439e-42,No
5,SHAP,1000,sqrt,True,0.1328794989137361,0.6929668018627009,0.6997181313816527,1.6969493802973355e-47,No
5,VR,1000,sqrt,False,0.1308890583044302,0.6836352711431577,0.6895465613645038,3.294605003445332e-43,No
5,SHAP,1000,sqrt,False,0.1301803043576091,0.6958473357797378,0.7027477206428814,7.302406130239907e-49,No
5,VR,1000,100,True,0.1232568862017172,0.6744035279727032,0.6800517603314165,3.5734213046666435e-39,No
5,SHAP,1000,100,True,0.123391114072134,0.6821554110603233,0.6894328291084445,1.508404428219776e-42,No
5,VR,1000,100,False,0.0882373381286783,0.5756196484903109,0.585012491256138,7.816419880935906e-09,No
5,SHAP,1000,100,False,0.0850061926111042,0.569672525161484,0.5823162181045268,9.453616223437693e-08,No
5,VR,2000,sqrt,True,0.1317618497686668,0.6809903646000987,0.6849359134317691,4.953992543004432e-42,No
5,SHAP,2000,sqrt,True,0.1325929355056213,0.6942453700723192,0.7002373620624758,4.224103979907978e-48,No
5,VR,2000,sqrt,False,0.1289495727910539,0.6830393356080603,0.6889225545111651,6.088460195943272e-43,No
5,SHAP,2000,sqrt,False,0.1298545568264001,0.6950831562909074,0.7016960855454458,1.689903035614126e-48,No
5,VR,2000,100,True,0.1235230795245621,0.6749902358419707,0.6816259281428174,2.007951572277467e-39,No
5,SHAP,2000,100,True,0.1233388951018026,0.6814650528981309,0.688971747180522,3.054450117669134e-42,No
5,VR,2000,100,False,0.0882074928747362,0.5756696495632954,0.5841445078134023,7.648071546845377e-09,No
5,SHAP,2000,100,False,0.0852034646253229,0.56912766368377,0.581313211386012,1.1765580580424489e-07,No
40,VR,500,sqrt,True,0.4195899177426977,0.8170550666316778,0.8295235805429871,1.4438213101918174e-128,No
40,SHAP,500,sqrt,True,0.408760464767519,0.8274894134596424,0.8396717995944837,5.149057394644061e-137,No
40,VR,500,sqrt,False,0.4238988326373161,0.8207226709767043,0.8340808528981444,1.6643421213960548e-131,No
40,SHAP,500,sqrt,False,0.4148699003349886,0.8272837184504891,0.8393398169548054,7.60142932405479e-137,No
40,VR,500,100,True,0.442388525896031,0.8304823797291931,0.842743217190116,1.7308862149377734e-139,No
40,SHAP,500,100,True,0.4435312778029824,0.8373831356271859,0.8480149483582904,2.817309401472032e-145,No
40,VR,500,100,False,0.2828120077726546,0.6715775830670205,0.6787446318821224,3.683870608870164e-39,No
40,SHAP,500,100,False,0.2783686480830049,0.6672440671014518,0.678613870351523,2.6214647038965284e-37,No
40,VR,1000,sqrt,True,0.4250442807685062,0.8220351713532923,0.8350462340955056,1.450643781885334e-132,No
40,SHAP,1000,sqrt,True,0.4173024284318386,0.8326122580512454,0.8440403526615212,2.913565690382463e-141,No
40,VR,1000,sqrt,False,0.4265936667363572,0.8230409991707789,0.8368349460273032,2.2210575572927923e-133,No
40,SHAP,1000,sqrt,False,0.4181121718409782,0.830623665190026,0.8422490907604323,1.3211507895572992e-139,No
40,VR,1000,100,True,0.4440482440131298,0.8343554713106367,0.8461525298796112,1.0096177336561604e-142,No
40,SHAP,1000,100,True,0.4456954990327491,0.8412599671178866,0.8508114678593006,1.3982550119396767e-148,No
40,VR,1000,100,False,0.2828214571084588,0.671542053929076,0.6782169348377599,3.8166355051295385e-39,No
40,SHAP,1000,100,False,0.2774119379831102,0.6665715067533411,0.6770854537926964,5.032847475199164e-37,No
40,VR,2000,sqrt,True,0.4269956166179272,0.8253404200458306,0.8377887022478909,2.977643424379571e-135,No
40,SHAP,2000,sqrt,True,0.4188500803262572,0.8337444116925354,0.8452450567437533,3.2877602678962364e-142,No
40,VR,2000,sqrt,False,0.4271923702306666,0.8244422185058605,0.8377385717042063,1.6104931036952736e-134,No
40,SHAP,2000,sqrt,False,0.4190941746878363,0.8314111238614313,0.8425519361704256,2.925309351563724e-140,No
40,VR,2000,100,True,0.4454351099919345,0.83569331996108,0.8480648125712922,7.556085304002427e-144,No
40,SHAP,2000,100,True,0.4467496349092028,0.842117860746972,0.8514770370010946,2.56632735358038e-149,No
40,VR,2000,100,False,0.2829125797913243,0.6718963064448402,0.6789177784464363,2.6805648433338088e-39,No
40,SHAP,2000,100,False,0.2775382115837437,0.6669914154538452,0.6780500279934148,3.35033607224975e-37,No
100,VR,500,sqrt,True,0.6543951031964743,0.8899044666209495,0.8989866784064244,4.255422044187571e-186,No
100,SHAP,500,sqrt,True,0.6609663874338861,0.8997308557121985,0.90855092836227,1.786697215996569e-195,No
